,ServicingLenderName,ServicingLenderLocationID,LoanNumber,CurrentApprovalAmount,EstimatedLenderProfit,AverageLoanAmount
3122,Pinnacle Bank,203685,4768,2509075381.57,77271532.66,526232.2528460571
3506,"SouthState Bank, National Association",117723,5547,2494044444.13,83305518.32,449620.41538309
273,"BOKF, National Association",59358,3354,2445356584.46,65875335.84,729086.6381812762
599,CIBC Bank USA,116998,2233,2315311561.87,53710927.77,1036861.4249305866
1221,East West Bank,119918,3314,2262473711.45,61807092.54,682701.7837809293
2007,"Fulton Bank, National Association",60701,3707,2169311580.88,64353018.47,585193.3047963313
875,City National Bank of Florida,17124,3451,2150508437.67,61628365.72,623155.1543523617
4556,Western Alliance Bank,317920,3018,2148722707.0,58402700.61,711969.0878064943
1649,First Interstate Bank,41844,3559,1834565180.42,58069569.43,515472.0934026412
4321,"UMB Bank, National Association",40891,2099,1749074477.7,43639709.09,833289.41291091
4375,United Community Bank,19133,3690,1737466618.88,56537876.06,470858.16229810304
553,"Bremer Bank, National Association",38908,2404,1736775846.72,45125979.99,722452.5152745424
